english	japanese	quiz_mode	source_word_id	source_word	scope	evidence	confidence	lookup_key
shoe store	靴屋				COMMON	Distractor Frequency	HIGH	shoe store_COMMON_0
shop at a store	店で買い物をする				COMMON	Distractor Frequency	HIGH	shop at a store_COMMON_0
shorts	短パン				COMMON	Distractor Frequency	HIGH	shorts_COMMON_0
shot	注射				COMMON	Distractor Frequency	HIGH	shot_COMMON_0
should do	～するべきだ				COMMON	Distractor Frequency	HIGH	should do_COMMON_0
shout at ~	～に叫ぶ				COMMON	Distractor Frequency	HIGH	shout at ~_COMMON_0
show ~	見せる				COMMON	Distractor Frequency	HIGH	show ~_COMMON_0
show A to B	AをBに見せる				COMMON	Distractor Frequency	HIGH	show a to b_COMMON_0
shrimp	エビ				COMMON	Distractor Frequency	HIGH	shrimp_COMMON_0
sidewalk	歩道				COMMON	Distractor Frequency	HIGH	sidewalk_COMMON_0
sing a song	歌を歌う				COMMON	Distractor Frequency	HIGH	sing a song_COMMON_0
single person	一人				COMMON	Distractor Frequency	HIGH	single person_COMMON_0
sir	～君				COMMON	Distractor Frequency	HIGH	sir_COMMON_0
sit and wait	座って待つ				COMMON	Distractor Frequency	HIGH	sit and wait_COMMON_0
sit before ~	～の前に座る				COMMON	Distractor Frequency	HIGH	sit before ~_COMMON_0
Sit down.	座ってください				COMMON	Distractor Frequency	HIGH	sit down._COMMON_0
sit quietly	静かに座る				COMMON	Distractor Frequency	HIGH	sit quietly_COMMON_0
sit there	そこに座る				COMMON	Distractor Frequency	HIGH	sit there_COMMON_0
six o'clock	6時				COMMON	Distractor Frequency	HIGH	six o'clock_COMMON_0
sixty	60				COMMON	Distractor Frequency	HIGH	sixty_COMMON_0
smaller	より小さい				COMMON	Distractor Frequency	HIGH	smaller_COMMON_0
smallest	最も小さい				COMMON	Distractor Frequency	HIGH	smallest_COMMON_0
smell like ~	～のようなにおいがする				COMMON	Distractor Frequency	HIGH	smell like ~_COMMON_0
smile at ~	～に笑う				COMMON	Distractor Frequency	HIGH	smile at ~_COMMON_0
snowing	雪が降っている				COMMON	Distractor Frequency	HIGH	snowing_COMMON_0
soccer game	サッカーの試合				COMMON	Distractor Frequency	HIGH	soccer game_COMMON_0
sock	くつした				COMMON	Distractor Frequency	HIGH	sock_COMMON_0
some ~	いくつかの～				COMMON	Distractor Frequency	HIGH	some ~_COMMON_0
somewhere	どこか				COMMON	Distractor Frequency	HIGH	somewhere_COMMON_0
sound of ~	～の音				COMMON	Distractor Frequency	HIGH	sound of ~_COMMON_0
spaceship	宇宙船				COMMON	Distractor Frequency	HIGH	spaceship_COMMON_0
speak ~	〜を話す				COMMON	Distractor Frequency	HIGH	speak ~_COMMON_0
speed	速さ				COMMON	Distractor Frequency	HIGH	speed_COMMON_0
spoke	話した				COMMON	Distractor Frequency	HIGH	spoke_COMMON_0
sponge	スポンジ				COMMON	Distractor Frequency	HIGH	sponge_COMMON_0
Stand up.	立ってください				COMMON	Distractor Frequency	HIGH	stand up._COMMON_0
starlight	星明かり				COMMON	Distractor Frequency	HIGH	starlight_COMMON_0
start ~	～を始める				COMMON	Distractor Frequency	HIGH	start ~_COMMON_0
start to	〜し始める				COMMON	Distractor Frequency	HIGH	start to_COMMON_0
station worker	駅員				COMMON	Distractor Frequency	HIGH	station worker_COMMON_0
stationery	文房具				COMMON	Distractor Frequency	HIGH	stationery_COMMON_0
stay in ~	～に滞在する				COMMON	Distractor Frequency	HIGH	stay in ~_COMMON_0
steering wheel	ハンドル				COMMON	Distractor Frequency	HIGH	steering wheel_COMMON_0
stop A from doing	Aが～するのを止める				COMMON	Manual Analysis	HIGH	stop a from doing_COMMON_0
stop at ~	～で止まる				COMMON	Distractor Frequency	HIGH	stop at ~_COMMON_0
stronger	より強く				COMMON	Distractor Frequency	HIGH	stronger_COMMON_0
strongest	最も強い				COMMON	Distractor Frequency	HIGH	strongest_COMMON_0
students	学生たち				COMMON	Distractor Frequency	HIGH	students_COMMON_0
study ~	～を勉強する				COMMON	Distractor Frequency	HIGH	study ~_COMMON_0
study abroad	留学				COMMON	Distractor Frequency	HIGH	study abroad_COMMON_0
study English	英語を勉強する				COMMON	Distractor Frequency	HIGH	study english_COMMON_0
studying	勉強				COMMON	Distractor Frequency	HIGH	studying_COMMON_0
subtract	引く				COMMON	Distractor Frequency	HIGH	subtract_COMMON_0
summer vacation	夏休み				COMMON	Distractor Frequency	HIGH	summer vacation_COMMON_0
sunflower	ひまわり				COMMON	Distractor Frequency	HIGH	sunflower_COMMON_0
support A	Aを支える				COMMON	Distractor Frequency	HIGH	support a_COMMON_0
surely	たしかに				COMMON	Distractor Frequency	HIGH	surely_COMMON_0
surround A with B	AをBで囲む				COMMON	Distractor Frequency	HIGH	surround a with b_COMMON_0
swan	はくちょう				COMMON	Distractor Frequency	HIGH	swan_COMMON_0
swim to ~	～まで泳いで行く				COMMON	Distractor Frequency	HIGH	swim to ~_COMMON_0
swimming practice	水泳の練習				COMMON	Distractor Frequency	HIGH	swimming practice_COMMON_0
Sydney	シドニー				COMMON	Distractor Frequency	HIGH	sydney_COMMON_0
take ~	～を連れて行く				COMMON	Distractor Frequency	HIGH	take ~_COMMON_0
take a bus	バスに乗る				COMMON	Distractor Frequency	HIGH	take a bus_COMMON_0
take a train	電車に乗る				COMMON	Distractor Frequency	HIGH	take a train_COMMON_0
take B out of A	AからBを取り出す				COMMON	Distractor Frequency	HIGH	take b out of a_COMMON_0
take care	気をつけて				COMMON	Distractor Frequency	HIGH	take care_COMMON_0
Take care.	気をつけて				COMMON	Distractor Frequency	HIGH	take care._COMMON_0
take medicine	くすりをのむ				COMMON	Distractor Frequency	HIGH	take medicine_COMMON_0
take off	脱ぐ				COMMON	Distractor Frequency	HIGH	take off_COMMON_0
tallest	最も背が高い				COMMON	Distractor Frequency	HIGH	tallest_COMMON_0
taste like ~	～のような味がする				COMMON	Distractor Frequency	HIGH	taste like ~_COMMON_0
teach ~	～を教える				COMMON	Distractor Frequency	HIGH	teach ~_COMMON_0
teachers	先生たち				COMMON	Distractor Frequency	HIGH	teachers_COMMON_0
technical school	専門学校				COMMON	Distractor Frequency	HIGH	technical school_COMMON_0
tell A B	AにBを教える				COMMON	Distractor Frequency	HIGH	tell a b_COMMON_0
ten minutes	10分間				COMMON	Distractor Frequency	HIGH	ten minutes_COMMON_0
ten thousand	1万				COMMON	Distractor Frequency	HIGH	ten thousand_COMMON_0
tennis match	テニスの試合				COMMON	Manual Analysis	HIGH	tennis match_COMMON_0
text	メッセージを送る				COMMON	Distractor Frequency	HIGH	text_COMMON_0
thank you for your call	お電話をありがとう				COMMON	Distractor Frequency	HIGH	thank you for your call_COMMON_0
thank you for your email	メールをありがとう				COMMON	Distractor Frequency	HIGH	thank you for your email_COMMON_0
Thank you for your help.	手伝ってくれてありがとう				COMMON	Distractor Frequency	HIGH	thank you for your help._COMMON_0
thank you for your picture	お写真をありがとう				COMMON	Distractor Frequency	HIGH	thank you for your picture_COMMON_0
thank you for your present	プレゼントをありがとう				COMMON	Distractor Frequency	HIGH	thank you for your present_COMMON_0
Thank you.	ありがとう				COMMON	Distractor Frequency	HIGH	thank you._COMMON_0
that is	あれは〜です				COMMON	Distractor Frequency	HIGH	that is_COMMON_0
That is too bad.	残念ですね				COMMON	Distractor Frequency	HIGH	that is too bad._COMMON_0
That looks difficult.	それは難しそうです				COMMON	Distractor Frequency	HIGH	that looks difficult._COMMON_0
That looks expensive.	それは高そうです				COMMON	Distractor Frequency	HIGH	that looks expensive._COMMON_0
That looks strange.	それは変そうです				COMMON	Distractor Frequency	HIGH	that looks strange._COMMON_0
That sounds late.	それは遅そうです				COMMON	Distractor Frequency	HIGH	that sounds late._COMMON_0
That's easy.	それは簡単です				COMMON	Distractor Frequency	HIGH	that's easy._COMMON_0
That's great.	それはすばらしいです				COMMON	Distractor Frequency	HIGH	that's great._COMMON_0
That's true.	それは本当です				COMMON	Distractor Frequency	HIGH	that's true._COMMON_0
the next day	次の日に				COMMON	Distractor Frequency	HIGH	the next day_COMMON_0
the other	もう一方の				COMMON	Distractor Frequency	HIGH	the other_COMMON_0
their	彼らの				COMMON	Distractor Frequency	HIGH	their_COMMON_0
theirs	彼らのもの				COMMON	Distractor Frequency	HIGH	theirs_COMMON_0
them	彼らを				COMMON	Distractor Frequency	HIGH	them_COMMON_0
These are expensive.	これらは高いです				COMMON	Distractor Frequency	HIGH	these are expensive._COMMON_0
These are new.	これらは新しいです				COMMON	Distractor Frequency	HIGH	these are new._COMMON_0
These are popular.	これらは人気です				COMMON	Distractor Frequency	HIGH	these are popular._COMMON_0
These are the same.	これらは同じです				COMMON	Distractor Frequency	HIGH	these are the same._COMMON_0
thirteenth	13番目の				COMMON	Distractor Frequency	HIGH	thirteenth_COMMON_0
thirty minutes	30分間				COMMON	Distractor Frequency	HIGH	thirty minutes_COMMON_0
this afternoon	今日の午後				COMMON	Distractor Frequency	HIGH	this afternoon_COMMON_0
This book is very easy.	私はそれを知りません				COMMON	Distractor Frequency	HIGH	this book is very easy._COMMON_0
this is	これは〜です				COMMON	Distractor Frequency	HIGH	this is_COMMON_0
this month	今月				COMMON	Distractor Frequency	HIGH	this month_COMMON_0
this week	今週				COMMON	Distractor Frequency	HIGH	this week_COMMON_0
this year	今年				COMMON	Distractor Frequency	HIGH	this year_COMMON_0
those	あれら				COMMON	Distractor Frequency	HIGH	those_COMMON_0
thought	考え				COMMON	Distractor Frequency	HIGH	thought_COMMON_0
through the school	学校中で				COMMON	Distractor Frequency	HIGH	through the school_COMMON_0
ticket gate	改札				COMMON	Distractor Frequency	HIGH	ticket gate_COMMON_0
tire	タイヤ				COMMON	Distractor Frequency	HIGH	tire_COMMON_0
to your left	あなたの左に				COMMON	Distractor Frequency	HIGH	to your left_COMMON_0
to your right	あなたの右に				COMMON	Distractor Frequency	HIGH	to your right_COMMON_0
toe	指				COMMON	Distractor Frequency	HIGH	toe_COMMON_0
Tokyo	東京				COMMON	Distractor Frequency	HIGH	tokyo_COMMON_0
tomorrow morning	明日の朝				COMMON	Distractor Frequency	HIGH	tomorrow morning_COMMON_0
tomorrow night	明日の夜				COMMON	Distractor Frequency	HIGH	tomorrow night_COMMON_0
ton	トン				COMMON	Distractor Frequency	HIGH	ton_COMMON_0
tools	道具				COMMON	Distractor Frequency	HIGH	tools_COMMON_0
Toronto	トロント				COMMON	Distractor Frequency	HIGH	toronto_COMMON_0
total	合計				COMMON	Distractor Frequency	HIGH	total_COMMON_0
tray	お盆				COMMON	Distractor Frequency	HIGH	tray_COMMON_0
trio	三人組				COMMON	Distractor Frequency	HIGH	trio_COMMON_0
troubled	困った				COMMON	Distractor Frequency	HIGH	troubled_COMMON_0
truck	トラック				COMMON	Distractor Frequency	HIGH	truck_COMMON_0
trunk	幹				COMMON	Distractor Frequency	HIGH	trunk_COMMON_0
trust A	Aを信じる				COMMON	Distractor Frequency	HIGH	trust a_COMMON_0
turn ~ off	～を消す				COMMON	Distractor Frequency	HIGH	turn ~ off_COMMON_0
turn ~ on	～をつける				COMMON	Distractor Frequency	HIGH	turn ~ on_COMMON_0
turn ~ up	～の音量を上げる				COMMON	Distractor Frequency	HIGH	turn ~ up_COMMON_0
turn down ~	～を断る				COMMON	Distractor Frequency	HIGH	turn down ~_COMMON_0
turtle	かめ				COMMON	Distractor Frequency	HIGH	turtle_COMMON_0
twenty minutes	20分間				COMMON	Distractor Frequency	HIGH	twenty minutes_COMMON_0
twice	二度				COMMON	Distractor Frequency	HIGH	twice_COMMON_0
twice a month	1か月に2回				COMMON	Distractor Frequency	HIGH	twice a month_COMMON_0
twice a week	1週間に2回				COMMON	Distractor Frequency	HIGH	twice a week_COMMON_0
twice a year	1年に2回				COMMON	Distractor Frequency	HIGH	twice a year_COMMON_0
under ~	〜の下に				COMMON	Distractor Frequency	HIGH	under ~_COMMON_0
until now	今まで				COMMON	Distractor Frequency	HIGH	until now_COMMON_0
use ~	使う				COMMON	Distractor Frequency	HIGH	use ~_COMMON_0
Very fast.	とても速い				COMMON	Distractor Frequency	HIGH	very fast._COMMON_0
Very good.	とてもよい				COMMON	Distractor Frequency	HIGH	very good._COMMON_0
viewer	観客				COMMON	Distractor Frequency	HIGH	viewer_COMMON_0
violet	すみれ				COMMON	Distractor Frequency	HIGH	violet_COMMON_0
visit ~	～を訪ねる				COMMON	Distractor Frequency	HIGH	visit ~_COMMON_0
visit A at B	AをBで訪ねる				COMMON	Distractor Frequency	HIGH	visit a at b_COMMON_0
volleyball game	バレーボールの試合				COMMON	Distractor Frequency	HIGH	volleyball game_COMMON_0
wait at ~	〜で待つ				COMMON	Distractor Frequency	HIGH	wait at ~_COMMON_0
wait for	待つ				COMMON	Distractor Frequency	HIGH	wait for_COMMON_0
wait for A	Aを待つ				COMMON	Distractor Frequency	HIGH	wait for a_COMMON_0
Wait.	待ってください				COMMON	Distractor Frequency	HIGH	wait._COMMON_0
walk slowly	ゆっくり歩く				COMMON	Distractor Frequency	HIGH	walk slowly_COMMON_0
walk to school	学校へ歩いて行く				COMMON	Distractor Frequency	HIGH	walk to school_COMMON_0
walking	散歩				COMMON	Distractor Frequency	HIGH	walking_COMMON_0
wall clock	壁掛け時計				COMMON	Distractor Frequency	HIGH	wall clock_COMMON_0
want to	〜したい				COMMON	Distractor Frequency	HIGH	want to_COMMON_0
wants	〜したい				COMMON	Distractor Frequency	HIGH	wants_COMMON_0
wash ~	洗う				COMMON	Distractor Frequency	HIGH	wash ~_COMMON_0
wash A	Aを洗う				COMMON	Distractor Frequency	HIGH	wash a_COMMON_0
wash dishes	皿を洗う				COMMON	Distractor Frequency	HIGH	wash dishes_COMMON_0
wash my face	顔を洗う				COMMON	Distractor Frequency	HIGH	wash my face_COMMON_0
watch TV	テレビを見る				COMMON	Distractor Frequency	HIGH	watch tv_COMMON_0
wave to ~	～に手を振る				COMMON	Distractor Frequency	HIGH	wave to ~_COMMON_0
we	私たち				COMMON	Distractor Frequency	HIGH	we_COMMON_0
We can ~.	～できる				COMMON	Distractor Frequency	HIGH	we can ~._COMMON_0
we did	私たちは〜しました				COMMON	Distractor Frequency	HIGH	we did_COMMON_0
We do too.	私たちも				COMMON	Distractor Frequency	HIGH	we do too._COMMON_0
We must ~.	～しなければならない				COMMON	Distractor Frequency	HIGH	we must ~._COMMON_0
We want to ~.	～したい				COMMON	Distractor Frequency	HIGH	we want to ~._COMMON_0
We will ~.	～する予定だ				COMMON	Distractor Frequency	HIGH	we will ~._COMMON_0
wear ~	着る				COMMON	Distractor Frequency	HIGH	wear ~_COMMON_0
weekly	毎週				COMMON	Distractor Frequency	HIGH	weekly_COMMON_0
went	行った				COMMON	Distractor Frequency	HIGH	went_COMMON_0
we're	私たちは〜です				COMMON	Distractor Frequency	HIGH	we're_COMMON_0
What are you eating?	何を食べますか				COMMON	Distractor Frequency	HIGH	what are you eating?_COMMON_0
What color do you like?	何色が好きですか？				COMMON	Distractor Frequency	HIGH	what color do you like?_COMMON_0
What day is it today?	今日は何曜日ですか				COMMON	Distractor Frequency	HIGH	what day is it today?_COMMON_0
What do you want?	何がほしいですか？				COMMON	Distractor Frequency	HIGH	what do you want?_COMMON_0
What is the date today?	今日は何日ですか				COMMON	Distractor Frequency	HIGH	what is the date today?_COMMON_0
What is this?	これは何ですか				COMMON	Distractor Frequency	HIGH	what is this?_COMMON_0
What is your name?	お名前は何ですか？				COMMON	Distractor Frequency	HIGH	what is your name?_COMMON_0
What shall we eat?	何を食べましょうか				COMMON	Distractor Frequency	HIGH	what shall we eat?_COMMON_0
What time do you get up?	何時に起きますか？				COMMON	Distractor Frequency	HIGH	what time do you get up?_COMMON_0
What time do you go to school?	何時に学校へ行きますか				COMMON	Distractor Frequency	HIGH	what time do you go to school?_COMMON_0
What time is it now?	今何時ですか				COMMON	Distractor Frequency	HIGH	what time is it now?_COMMON_0
What time is it?	何時ですか？				COMMON	Distractor Frequency	HIGH	what time is it?_COMMON_0
What time will you go?	何時に行きますか？				COMMON	Distractor Frequency	HIGH	what time will you go?_COMMON_0
What's your name?	お名前は何ですか？				COMMON	Distractor Frequency	HIGH	what's your name?_COMMON_0
When are you coming?	いつ来ますか				COMMON	Distractor Frequency	HIGH	when are you coming?_COMMON_0
When shall we leave?	いつ出発しましょうか				COMMON	Distractor Frequency	HIGH	when shall we leave?_COMMON_0
When will you go?	いつ行きますか				COMMON	Distractor Frequency	HIGH	when will you go?_COMMON_0
when's	いつですか				COMMON	Distractor Frequency	HIGH	when's_COMMON_0
Where are you going?	どこへ行くの？				COMMON	Distractor Frequency	HIGH	where are you going?_COMMON_0
Where are you?	どこですか？				COMMON	Distractor Frequency	HIGH	where are you?_COMMON_0
Where do you live?	どこに住んでいますか？				COMMON	Distractor Frequency	HIGH	where do you live?_COMMON_0
Where is ~?	～はどこですか				COMMON	Distractor Frequency	HIGH	where is ~?_COMMON_0
Where is it?	どこにありますか				COMMON	Distractor Frequency	HIGH	where is it?_COMMON_0
Where is the station?	駅はどこですか				COMMON	Distractor Frequency	HIGH	where is the station?_COMMON_0
Where is your school?	学校はどこですか				COMMON	Distractor Frequency	HIGH	where is your school?_COMMON_0
Which do you like?	どちらが好きですか				COMMON	Distractor Frequency	HIGH	which do you like?_COMMON_0
which is	どちらですか				COMMON	Distractor Frequency	HIGH	which is_COMMON_0
Which one is yours?	どれがあなたのですか？				COMMON	Distractor Frequency	HIGH	which one is yours?_COMMON_0
while ~	～する間				COMMON	Distractor Frequency	HIGH	while ~_COMMON_0
whisker	ひげ				COMMON	Distractor Frequency	HIGH	whisker_COMMON_0
Who are you talking to?	誰と話していますか				COMMON	Distractor Frequency	HIGH	who are you talking to?_COMMON_0
Who do you go to school with?	だれと学校へ行きますか				COMMON	Distractor Frequency	HIGH	who do you go to school with?_COMMON_0
Who is this?	また後で電話します				COMMON	Distractor Frequency	HIGH	who is this?_COMMON_0
Who shall we go with?	だれと行きましょうか				COMMON	Distractor Frequency	HIGH	who shall we go with?_COMMON_0
Who will come?	だれが来ますか				COMMON	Distractor Frequency	HIGH	who will come?_COMMON_0
who's	だれですか				COMMON	Distractor Frequency	HIGH	who's_COMMON_0
Whose is ~?	～はだれのものですか				COMMON	Distractor Frequency	HIGH	whose is ~?_COMMON_0
Whose is this?	だれのものですか				COMMON	Distractor Frequency	HIGH	whose is this?_COMMON_0
why's	なぜですか				COMMON	Distractor Frequency	HIGH	why's_COMMON_0
will do	これから～する				COMMON	Distractor Frequency	HIGH	will do_COMMON_0
Will you close the door?	ドアを閉めてくれますか				COMMON	Distractor Frequency	HIGH	will you close the door?_COMMON_0
Will you come here?	ここに来てくれますか				COMMON	Distractor Frequency	HIGH	will you come here?_COMMON_0
Will you come with me?	来てくれますか				COMMON	Distractor Frequency	HIGH	will you come with me?_COMMON_0
Will you show me?	見せてくれますか				COMMON	Distractor Frequency	HIGH	will you show me?_COMMON_0
Will you tell me?	教えてくれますか				COMMON	Distractor Frequency	HIGH	will you tell me?_COMMON_0
Will you wait a minute?	少し待ってくれますか				COMMON	Distractor Frequency	HIGH	will you wait a minute?_COMMON_0
Will you wait for me?	待ってくれますか				COMMON	Distractor Frequency	HIGH	will you wait for me?_COMMON_0
witch	魔女				COMMON	Distractor Frequency	HIGH	witch_COMMON_0
with ~	～といっしょに				COMMON	Distractor Frequency	HIGH	with ~_COMMON_0
wolf	オオカミ				COMMON	Distractor Frequency	HIGH	wolf_COMMON_0
worst	最も悪い				COMMON	Distractor Frequency	HIGH	worst_COMMON_0
write ~	～を書く				COMMON	Distractor Frequency	HIGH	write ~_COMMON_0
write a letter	手紙を書く				COMMON	Distractor Frequency	HIGH	write a letter_COMMON_0
write a name	名前を書く				COMMON	Distractor Frequency	HIGH	write a name_COMMON_0
write about ~	〜を書く				COMMON	Distractor Frequency	HIGH	write about ~_COMMON_0
yesterday morning	昨日の朝				COMMON	Distractor Frequency	HIGH	yesterday morning_COMMON_0
you can	あなたは〜できます				COMMON	Distractor Frequency	HIGH	you can_COMMON_0
You too.	あなたも				COMMON	Distractor Frequency	HIGH	you too._COMMON_0
youngest	最も若い				COMMON	Distractor Frequency	HIGH	youngest_COMMON_0
yours	あなたたちのもの				COMMON	Distractor Frequency	HIGH	yours_COMMON_0
yourself	あなた自身				COMMON	Distractor Frequency	HIGH	yourself_COMMON_0
sumo	相撲				COMMON	Manual Analysis	HIGH	sumo_COMMON_0
came	来た				COMMON	Manual Analysis	HIGH	came_COMMON_0
women	女性たち				COMMON	Manual Analysis	HIGH	women_COMMON_0
men	男性たち				COMMON	Manual Analysis	HIGH	men_COMMON_0
I'm sleepy	眠いです				COMMON	Manual Analysis	HIGH	i'm sleepy_COMMON_0
I'm hungry	おなかがすいています				COMMON	Manual Analysis	HIGH	i'm hungry_COMMON_0
I'm ready	準備ができています				COMMON	Manual Analysis	HIGH	i'm ready_COMMON_0
I'm happy	幸せです				COMMON	Manual Analysis	HIGH	i'm happy_COMMON_0
be ready for	～の準備ができている				COMMON	Manual Analysis	HIGH	be ready for_COMMON_0
be kind to	～に親切にする				COMMON	Manual Analysis	HIGH	be kind to_COMMON_0
be from	～の出身だ				COMMON	Manual Analysis	HIGH	be from_COMMON_0
wish	願う				COMMON	Manual Analysis	HIGH	wish_COMMON_0
awesome	素晴らしい				COMMON	Manual Analysis	HIGH	awesome_COMMON_0
holder	ホルダー、保持者				COMMON	Manual Analysis	HIGH	holder_COMMON_0
mat	マット				COMMON	Manual Analysis	HIGH	mat_COMMON_0
donkey	ロバ				COMMON	Manual Analysis	HIGH	donkey_COMMON_0
Are you hungry?	おなかがすいていますか				COMMON	Manual Analysis	HIGH	are you hungry?_COMMON_0
Where is your notebook?	あなたのノートはどこですか				COMMON	Manual Analysis	HIGH	where is your notebook?_COMMON_0
What is your favorite day?	あなたの好きな日はいつですか				COMMON	Manual Analysis	HIGH	what is your favorite day?_COMMON_0
