"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
500779	5	bully	いじめる	to hurt or frighten a weaker person again and again	Do not bully younger students.	年下の生徒をいじめてはいけません。	verb	5	3	""[""""いじめる"""",""""助ける"""",""""守る"""",""""招く"""",""""ほめる""""]""	""[""""bully"""",""""help"""",""""protect"""",""""invite"""",""""praise""""]""	""[""""bully"""",""""fully"""",""""bullet"""",""""busy"""",""""belly""""]""	[]	""[{""""word"""":""""protect"""",""""note"""":""""傷つけずに守る""""}]"""
500780	5	spouse	配偶者	a husband or wife	Her spouse works at a hospital.	彼女の配偶者は病院で働いています。	noun	5	2	""[""""配偶者"""",""""親戚"""",""""隣人"""",""""同僚"""",""""友人""""]""	""[""""spouse"""",""""relative"""",""""neighbor"""",""""coworker"""",""""friend""""]""	""[""""spouse"""",""""house"""",""""space"""",""""mouse"""",""""south""""]""	""[{""""word"""":""""partner"""",""""note"""":""""文脈によっては夫・妻を指す""""}]""	[]"
500781	5	identification	身分証明書	an official card or document that shows who you are	Please show your identification at the door.	入口で身分証明書を見せてください。	noun	5	3	""[""""身分証明書"""",""""招待状"""",""""会員証"""",""""切符"""",""""領収書""""]""	""[""""identification"""",""""invitation"""",""""membership card"""",""""ticket"""",""""receipt""""]""	""[""""identification"""",""""invitation"""",""""information"""",""""education"""",""""inspection""""]""	""[{""""word"""":""""ID"""",""""note"""":""""口語でよく使う短い形""""}]""	[]"
500782	5	abstract	要約	a short summary of a longer text	I read the abstract before the full report.	私は全文の報告書の前に要約を読みました。	noun	5	2	""[""""要約"""",""""結論"""",""""題名"""",""""注"""",""""例""""]""	""[""""abstract"""",""""conclusion"""",""""title"""",""""note"""",""""example""""]""	""[""""abstract"""",""""object"""",""""absent"""",""""aspect"""",""""attack""""]""	""[{""""word"""":""""summary"""",""""note"""":""""より一般的な語""""}]""	[]"
500783	5	disregard	無視する	to pay no attention to something	Do not disregard the teacher's advice.	先生の助言を無視してはいけません。	verb	5	2	""[""""無視する"""",""""受け入れる"""",""""説明する"""",""""防ぐ"""",""""集める""""]""	""[""""disregard"""",""""accept"""",""""explain"""",""""prevent"""",""""collect""""]""	""[""""disregard"""",""""discover"""",""""discuss"""",""""disappear"""",""""dislike""""]""	""[{""""word"""":""""ignore"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""notice"""",""""note"""":""""気づいて注意を向ける""""}]"""
500784	5	simulate	まねる	to copy the way something works or happens	The game can simulate real driving.	そのゲームは本当の運転をまねることができます。	verb	5	2	""[""""まねる"""",""""測る"""",""""混ぜる"""",""""解く"""",""""運ぶ""""]""	""[""""simulate"""",""""measure"""",""""mix"""",""""solve"""",""""carry""""]""	""[""""simulate"""",""""stimulate"""",""""separate"""",""""celebrate"""",""""calculate""""]""	""[{""""word"""":""""imitate"""",""""note"""":""""人や動作をまねるときによく使う""""}]""	""[{""""word"""":""""create"""",""""note"""":""""まねるのでなく新しく作る""""}]"""
500785	5	notable	注目すべき	important or interesting enough to notice	She made a notable improvement this year.	彼女は今年、注目すべき進歩を見せました。	adjective	5	3	""[""""注目すべき"""",""""静かな"""",""""危険な"""",""""正確な"""",""""一般的な""""]""	""[""""notable"""",""""quiet"""",""""dangerous"""",""""accurate"""",""""common""""]""	""[""""notable"""",""""notice"""",""""noble"""",""""normal"""",""""local""""]""	""[{""""word"""":""""remarkable"""",""""note"""":""""より強く『すばらしい』感じがある""""}]""	""[{""""word"""":""""ordinary"""",""""note"""":""""特に目立たない""""}]"""
500786	5	spectacle	見世物	an unusual or impressive public show	The festival was a colorful spectacle.	その祭りは色鮮やかな見世物だった。	noun	5	2	""[""""見世物"""",""""景色"""",""""舞台"""",""""行事"""",""""観客""""]""	""[""""spectacle"""",""""scenery"""",""""stage"""",""""event"""",""""audience""""]""	""[""""spectacle"""",""""special"""",""""spectator"""",""""article"""",""""practical""""]""	""[{""""word"""":""""show"""",""""note"""":""""より一般的な語""""},{""""word"""":""""display"""",""""note"""":""""見せるための催し""""}]""	[]"
500787	5	upgrade	向上させる	to improve something to a better level	We plan to upgrade the school computers.	私たちは学校のコンピューターを向上させる予定です。	verb	5	3	""[""""向上させる"""",""""修理する"""",""""交換する"""",""""確認する"""",""""運ぶ""""]""	""[""""upgrade"""",""""repair"""",""""replace"""",""""check"""",""""carry""""]""	""[""""upgrade"""",""""upset"""",""""update"""",""""upload"""",""""upright""""]""	""[{""""word"""":""""improve"""",""""note"""":""""より一般的な語""""}]""	""[{""""word"""":""""downgrade"""",""""note"""":""""質や水準を下げる""""}]"""
500788	5	markedly	著しく	in a very clear and noticeable way	Her English has improved markedly this year.	彼女の英語は今年著しく上達した。	adverb	5	2	""[""""著しく"""",""""静かに"""",""""ゆっくり"""",""""突然"""",""""完全に""""]""	""[""""markedly"""",""""quietly"""",""""slowly"""",""""suddenly"""",""""completely""""]""	""[""""markedly"""",""""mainly"""",""""hardly"""",""""brightly"""",""""partly""""]""	""[{""""word"""":""""greatly"""",""""note"""":""""程度が大きい""""},{""""word"""":""""clearly"""",""""note"""":""""はっきりと""""}]""	""[{""""word"""":""""slightly"""",""""note"""":""""わずかに""""}]"""
500789	5	clearly	はっきりと	in a way that is easy to see or understand	She spoke clearly in class.	彼女は授業で、はっきりと話した。	adverb	5	4	""[""""はっきりと"""",""""静かに"""",""""すばやく"""",""""ゆっくりと"""",""""突然""""]""	""[""""clearly"""",""""quietly"""",""""quickly"""",""""slowly"""",""""suddenly""""]""	""[""""clearly"""",""""carefully"""",""""cheerfully"""",""""cleanly"""",""""closely""""]""	""[{""""word"""":""""plainly"""",""""note"""":""""やや書き言葉でも使う""""},{""""word"""":""""obviously"""",""""note"""":""""「明らかに」の意味が強い""""}]""	""[{""""word"""":""""unclearly"""",""""note"""":""""不明確に""""},{""""word"""":""""vaguely"""",""""note"""":""""あいまいに""""}]"""
500790	5	disappointingly	がっかりするほど	in a way that makes you feel sad because it is not as good as expected	The movie ended disappointingly.	その映画は、がっかりするような終わり方をした。	adverb	7	2	""[""""がっかりするほど"""",""""静かに"""",""""急に"""",""""うれしそうに"""",""""ていねいに""""]""	""[""""disappointingly"""",""""quietly"""",""""suddenly"""",""""happily"""",""""politely""""]""	""[""""disappointingly"""",""""differently"""",""""directly"""",""""delightly"""",""""desperately""""]""	[]	""[{""""word"""":""""satisfyingly"""",""""note"""":""""期待どおりで満足できる感じに""""},{""""word"""":""""happily"""",""""note"""":""""意味は広く反対に近い""""}]"""
500791	5	sincerely	心から	in a true and honest way	I sincerely thank you for your help.	ご助力に心から感謝します。	adverb	6	3	""[""""心から"""",""""静かに"""",""""正確に"""",""""突然"""",""""ゆっくりと""""]""	""[""""sincerely"""",""""quietly"""",""""exactly"""",""""suddenly"""",""""slowly""""]""	""[""""sincerely"""",""""seriously"""",""""certainly"""",""""securely"""",""""simply""""]""	""[{""""word"""":""""truly"""",""""note"""":""""より広く使える""""},{""""word"""":""""honestly"""",""""note"""":""""正直に、の意味が強い""""}]""	""[{""""word"""":""""insincerely"""",""""note"""":""""心がこもらずに""""}]"""
500792	5	faithfully	忠実に	in a loyal and honest way	He served the king faithfully.	彼は王に忠実に仕えた。	adverb	5	2	""[""""忠実に"""",""""静かに"""",""""慎重に"""",""""突然"""",""""公平に""""]""	""[""""faithfully"""",""""quietly"""",""""carefully"""",""""suddenly"""",""""fairly""""]""	""[""""faithfully"""",""""fatefully"""",""""gratefully"""",""""carefully"""",""""painfully""""]""	""[{""""word"""":""""loyally"""",""""note"""":""""忠誠心を強調する""""}]""	""[{""""word"""":""""dishonestly"""",""""note"""":""""正直でなく""""}]"""
500793	5	severely	厳しく	in a very strict or serious way	The teacher spoke severely to him.	先生は彼に厳しく話した。	adverb	5	3	""[""""厳しく"""",""""静かに"""",""""優しく"""",""""ゆっくり"""",""""簡単に""""]""	""[""""severely"""",""""quietly"""",""""kindly"""",""""slowly"""",""""easily""""]""	""[""""severely"""",""""securely"""",""""seriously"""",""""clearly"""",""""softly""""]""	""[{""""word"""":""""strictly"""",""""note"""":""""規則や態度が厳しい""""}]""	""[{""""word"""":""""gently"""",""""note"""":""""やさしく""""}]"""
500794	5	fluently	流ちょうに	in a smooth and easy way when speaking	She speaks English fluently.	彼女は英語を流ちょうに話す。	adverb	5	3	""[""""流ちょうに"""",""""静かに"""",""""正確に"""",""""ゆっくり"""",""""大声で""""]""	""[""""fluently"""",""""quietly"""",""""accurately"""",""""slowly"""",""""loudly""""]""	""[""""fluently"""",""""frequently"""",""""quietly"""",""""clearly"""",""""brightly""""]""	""[{""""word"""":""""smoothly"""",""""note"""":""""なめらかにという近い意味""""}]""	""[{""""word"""":""""haltingly"""",""""note"""":""""たどたどしく""""}]"""
500795	5	gently	やさしく	in a soft and careful way	She closed the door gently.	彼女はドアをやさしく閉めた。	adverb	5	3	""[""""やさしく"""",""""すばやく"""",""""静かに"""",""""強く"""",""""ゆっくり""""]""	""[""""gently"""",""""quickly"""",""""quietly"""",""""strongly"""",""""slowly""""]""	""[""""gently"""",""""guilty"""",""""giantly"""",""""gatherly"""",""""gentry""""]""	""[{""""word"""":""""softly"""",""""note"""":""""より音や動きがやわらかい感じ""""},{""""word"""":""""carefully"""",""""note"""":""""注意して、という意味が強い""""}]""	""[{""""word"""":""""roughly"""",""""note"""":""""乱暴に""""},{""""word"""":""""harshly"""",""""note"""":""""きつく、荒々しく""""}]"""
500796	5	strictly	厳しく	in a firm and careful way that follows rules	Our coach spoke strictly to us.	私たちのコーチは私たちに厳しく話した。	adverb	6	3	""[""""厳しく"""",""""静かに"""",""""ゆっくり"""",""""正直に"""",""""簡単に""""]""	""[""""strictly"""",""""quietly"""",""""slowly"""",""""honestly"""",""""easily""""]""	""[""""strictly"""",""""strongly"""",""""strangely"""",""""streetly"""",""""swiftly""""]""	""[{""""word"""":""""firmly"""",""""note"""":""""態度がしっかりしている感じ""""}]""	""[{""""word"""":""""gently"""",""""note"""":""""やさしく""""},{""""word"""":""""loosely"""",""""note"""":""""厳しくなく""""}]"""
500797	5	surprisingly	驚くほど	in a way that makes you feel surprised	The test was surprisingly easy.	そのテストは驚くほど簡単だった。	adverb	6	3	""[""""驚くほど"""",""""静かに"""",""""完全に"""",""""たぶん"""",""""突然""""]""	""[""""surprisingly"""",""""quietly"""",""""completely"""",""""probably"""",""""suddenly""""]""	""[""""surprisingly"""",""""suddenly"""",""""certainly"""",""""seriously"""",""""supposedly""""]""	""[{""""word"""":""""unexpectedly"""",""""note"""":""""予想に反して""""}]""	""[{""""word"""":""""normally"""",""""note"""":""""ふつうに""""},{""""word"""":""""expectedly"""",""""note"""":""""予想どおりに""""}]"""
500798	5	thankfully	ありがたいことに	in a way that shows relief or good luck	Thankfully, no one was hurt.	ありがたいことに、けがをした人はいませんでした。	adverb	5	3	""[""""ありがたいことに"""",""""突然"""",""""静かに"""",""""慎重に"""",""""簡単に""""]""	""[""""thankfully"""",""""suddenly"""",""""quietly"""",""""carefully"""",""""easily""""]""	""[""""thankfully"""",""""thankful"""",""""carefully"""",""""peacefully"""",""""helpfully""""]""	""[{""""word"""":""""fortunately"""",""""note"""":""""より一般的な言い方""""}]""	""[{""""word"""":""""unfortunately"""",""""note"""":""""反対に、残念ながら""""}]"""
500799	5	significantly	大幅に	in an important or noticeable way	The price changed significantly last year.	その価格は去年、大幅に変わりました。	adverb	6	3	""[""""大幅に"""",""""静かに"""",""""ゆっくり"""",""""正確に"""",""""突然""""]""	""[""""significantly"""",""""quietly"""",""""slowly"""",""""exactly"""",""""suddenly""""]""	""[""""significantly"""",""""silently"""",""""certainly"""",""""suddenly"""",""""carefully""""]""	""[{""""word"""":""""greatly"""",""""note"""":""""程度が大きいときに使う""""}]""	""[{""""word"""":""""slightly"""",""""note"""":""""少しだけ""""}]"""
500800	5	importantly	重要なことに	in a way that shows something is important	More importantly, we need a clear plan.	さらに重要なことに、私たちには明確な計画が必要です。	adverb	5	3	""[""""重要なことに"""",""""静かに"""",""""最近"""",""""慎重に"""",""""たぶん""""]""	""[""""importantly"""",""""quietly"""",""""recently"""",""""carefully"""",""""probably""""]""	""[""""importantly"""",""""immediately"""",""""especially"""",""""carefully"""",""""certainly""""]""	""[{""""word"""":""""especially"""",""""note"""":""""文脈によって近い意味""""}]""	[]"
500801	5	at risk	危険にさらされて	in danger of being harmed or lost	Many animals are at risk now.	今、多くの動物が危険にさらされている。	adjective	5	3	""[""""危険にさらされて"""",""""安全で"""",""""有名で"""",""""静かで"""",""""健康で""""]""	""[""""at risk"""",""""safe"""",""""famous"""",""""quiet"""",""""healthy""""]""	""[""""at risk"""",""""at rest"""",""""a trick"""",""""artist"""",""""attack""""]""	""[{""""word"""":""""in danger"""",""""note"""":""""より基本的な表現""""}]""	""[{""""word"""":""""safe"""",""""note"""":""""安全な状態""""}]"""
500802	5	overall	全体的に	when everything is considered	Overall, the plan was a success.	全体的に、その計画は成功だった。	adverb	5	4	""[""""全体的に"""",""""突然"""",""""たぶん"""",""""すぐに"""",""""特に""""]""	""[""""overall"""",""""suddenly"""",""""probably"""",""""soon"""",""""especially""""]""	""[""""overall"""",""""overseas"""",""""owner"""",""""oval"""",""""over""""]""	""[{""""word"""":""""generally"""",""""note"""":""""だいたい同じ意味""""}]""	[]"
500803	5	in a sense	ある意味で	in one way of thinking	In a sense, he was right.	ある意味で、彼は正しかった。	adverb	5	3	""[""""ある意味で"""",""""実は"""",""""たとえば"""",""""その結果"""",""""少なくとも""""]""	""[""""in a sense"""",""""actually"""",""""for example"""",""""as a result"""",""""at least""""]""	""[""""in a sense"""",""""in a second"""",""""in a seat"""",""""innocent"""",""""in a way""""]""	""[{""""word"""":""""in a way"""",""""note"""":""""かなり近い表現""""}]""	[]"
500804	5	that is to say	つまり	used to explain something in a clearer way	He is my cousin, that is to say, my aunt's son.	彼は私のいとこです。つまり、私のおばの息子です。	conjunction	5	2	""[""""つまり"""",""""たとえば"""",""""そのため"""",""""実は"""",""""一方で""""]""	""[""""that is to say"""",""""for example"""",""""therefore"""",""""actually"""",""""on the other hand""""]""	""[""""that is to say"""",""""that was today"""",""""what did you say"""",""""that is okay"""",""""this is the way""""]""	""[{""""word"""":""""in other words"""",""""note"""":""""言いかえを示す表現""""},{""""word"""":""""namely"""",""""note"""":""""ややかたい表現""""}]""	[]"
500805	5	in the old days	昔は	in the time long ago	In the old days, people wrote letters by hand.	昔は、人々は手で手紙を書いていました。	adverb	4	3	""[""""昔は"""",""""最近は"""",""""今では"""",""""将来は"""",""""その間""""]""	""[""""in the old days"""",""""recently"""",""""nowadays"""",""""in the future"""",""""meanwhile""""]""	""[""""in the old days"""",""""in the cold rain"""",""""in the long day"""",""""in the hallway"""",""""in the school yard""""]""	""[{""""word"""":""""long ago"""",""""note"""":""""より短い表現""""}]""	""[{""""word"""":""""nowadays"""",""""note"""":""""今では""""}]"""
500806	5	ultimately	最終的に	in the end after everything	Ultimately, we chose the smaller house.	最終的に、私たちはより小さい家を選びました。	adverb	5	3	""[""""最終的に"""",""""突然"""",""""静かに"""",""""たぶん"""",""""すぐに""""]""	""[""""ultimately"""",""""suddenly"""",""""quietly"""",""""probably"""",""""soon""""]""	""[""""ultimately"""",""""usually"""",""""carefully"""",""""certainly"""",""""suddenly""""]""	""[{""""word"""":""""finally"""",""""note"""":""""より基本的な語""""},{""""word"""":""""in the end"""",""""note"""":""""句としてよく使う""""}]""	[]"
500807	5	central	中心の	in the middle of something	The library is in the central part of the city.	その図書館は市の中心部にあります。	adjective	5	3	""[""""中心の"""",""""重要な"""",""""静かな"""",""""安全な"""",""""近くの""""]""	""[""""central"""",""""local"""",""""quiet"""",""""safe"""",""""nearby""""]""	""[""""central"""",""""gentle"""",""""special"""",""""general"""",""""natural""""]""	""[{""""word"""":""""main"""",""""note"""":""""「主な」の意味で近い""""}]""	""[{""""word"""":""""outer"""",""""note"""":""""外側のという意味""""}]"""
500808	5	traditionally	伝統的に	in a way that follows old customs	This food is traditionally eaten in winter.	この食べ物は伝統的に冬に食べられます。	adverb	6	2	""[""""伝統的に"""",""""一般的に"""",""""特に"""",""""静かに"""",""""突然""""]""	""[""""traditionally"""",""""usually"""",""""especially"""",""""quietly"""",""""suddenly""""]""	""[""""traditionally"""",""""conditionally"""",""""additionally"""",""""nationally"""",""""carefully""""]""	[]	[]"
500809	5	brochure	パンフレット	a small book with information or pictures	I got a brochure at the travel center.	私は旅行案内所でパンフレットをもらいました。	noun	6	2	""[""""パンフレット"""",""""辞書"""",""""新聞"""",""""手紙"""",""""地図""""]""	""[""""brochure"""",""""dictionary"""",""""newspaper"""",""""letter"""",""""map""""]""	""[""""brochure"""",""""teacher"""",""""picture"""",""""brother"""",""""treasure""""]""	""[{""""word"""":""""pamphlet"""",""""note"""":""""ややかたい言い方""""}]""	[]"
500810	5	pamphlet	パンフレット	a small book with information	I got a pamphlet at the station.	私は駅でパンフレットをもらった。	noun	5	2	""[""""パンフレット"""",""""ポスター"""",""""地図"""",""""雑誌"""",""""新聞""""]""	""[""""pamphlet"""",""""poster"""",""""map"""",""""magazine"""",""""newspaper""""]""	""[""""pamphlet"""",""""hamlet"""",""""packet"""",""""planet"""",""""blanket""""]""	""[{""""word"""":""""brochure"""",""""note"""":""""少しかための語""""}]""	[]"
500811	5	let	させる	to allow someone to do something	My parents let me use the computer.	両親は私にコンピューターを使わせてくれる。	verb	3	5	""[""""させる"""",""""止める"""",""""教える"""",""""呼ぶ"""",""""待つ""""]""	""[""""let"""",""""stop"""",""""teach"""",""""call"""",""""wait""""]""	""[""""let"""",""""late"""",""""left"""",""""met"""",""""net""""]""	""[{""""word"""":""""allow"""",""""note"""":""""より一般的で少しかため""""}]""	""[{""""word"""":""""stop"""",""""note"""":""""させない""""}]"""
500812	5	succeed to	受け継ぐ	to take a position or role after someone else	She will succeed to her father's business.	彼女は父親の事業を受け継ぐでしょう。	verb	5	2	""[""""受け継ぐ"""",""""達成する"""",""""支える"""",""""断る"""",""""広げる""""]""	""[""""succeed to"""",""""achieve"""",""""support"""",""""refuse"""",""""expand""""]""	""[""""succeed to"""",""""secret"""",""""second"""",""""signal"""",""""suggest""""]""	""[{""""word"""":""""inherit"""",""""note"""":""""財産や地位を受け継ぐときによく使う""""}]""	[]"
500813	5	web	網	a net made by a spider	There is a spider web in the corner.	すみにクモの巣があります。	noun	3	4	""[""""網"""",""""壁"""",""""枝"""",""""穴"""",""""石""""]""	""[""""web"""",""""wall"""",""""branch"""",""""hole"""",""""stone""""]""	""[""""web"""",""""wet"""",""""west"""",""""bed"""",""""wave""""]""	[]	[]"
500814	5	devise	考え出す	to invent or plan something carefully	They devised a new way to save water.	彼らは水を節約する新しい方法を考え出した。	verb	5	2	""[""""考え出す"""",""""集める"""",""""壊す"""",""""運ぶ"""",""""隠す""""]""	""[""""devise"""",""""collect"""",""""break"""",""""carry"""",""""hide""""]""	""[""""devise"""",""""divide"""",""""decide"""",""""design"""",""""demand""""]""	""[{""""word"""":""""invent"""",""""note"""":""""新しいものを作り出す意味で近い""""},{""""word"""":""""plan"""",""""note"""":""""計画する意味で近い""""}]""	[]"
500815	5	sooner or later	いつかは	at some time in the future	Sooner or later, you will understand.	いつかは、あなたも分かるでしょう。	adverb	5	3	""[""""いつかは"""",""""たぶん"""",""""突然"""",""""しばらく"""",""""今すぐ""""]""	""[""""sooner or later"""",""""probably"""",""""suddenly"""",""""for a while"""",""""right now""""]""	""[""""sooner or later"""",""""summer or winter"""",""""softer and lighter"""",""""so long ago"""",""""so very late""""]""	""[{""""word"""":""""eventually"""",""""note"""":""""より一語で言う形""""}]""	""[{""""word"""":""""right now"""",""""note"""":""""今すぐ""""}]"""
500816	5	accomplishment	達成	something done successfully	Finishing the race was a great accomplishment.	レースを完走したことは大きな達成だった。	noun	6	2	""[""""達成"""",""""失敗"""",""""努力"""",""""目標"""",""""経験""""]""	""[""""accomplishment"""",""""failure"""",""""effort"""",""""goal"""",""""experience""""]""	""[""""accomplishment"""",""""announcement"""",""""agreement"""",""""apartment"""",""""achievement""""]""	""[{""""word"""":""""achievement"""",""""note"""":""""ほぼ同じ意味でよく使う""""}]""	""[{""""word"""":""""failure"""",""""note"""":""""達成できないこと""""}]"""
500817	5	livelihood	生計	the way someone earns money to live	Fishing is his livelihood.	漁業が彼の生計です。	noun	6	2	""[""""生計"""",""""職業"""",""""給料"""",""""貯金"""",""""借金""""]""	""[""""livelihood"""",""""occupation"""",""""salary"""",""""savings"""",""""debt""""]""	""[""""livelihood"""",""""likelihood"""",""""neighborhood"""",""""childhood"""",""""livelyhood""""]""	[]	[]"
500818	5	promotion	昇進	a move to a higher job or position	She got a promotion last year.	彼女は昨年昇進した。	noun	5	3	""[""""昇進"""",""""退職"""",""""失敗"""",""""給料"""",""""面接""""]""	""[""""promotion"""",""""retirement"""",""""failure"""",""""salary"""",""""interview""""]""	""[""""promotion"""",""""protection"""",""""production"""",""""proportion"""",""""pronunciation""""]""	""[{""""word"""":""""advancement"""",""""note"""":""""少しかたい語""""}]""	""[{""""word"""":""""demotion"""",""""note"""":""""地位が下がること""""}]"""
500819	5	attachment	添付ファイル	a file sent with an email	I opened the attachment in the email.	私はそのメールの添付ファイルを開いた。	noun	5	3	""[""""添付ファイル"""",""""件名"""",""""受信箱"""",""""返信"""",""""印刷""""]""	""[""""attachment"""",""""subject"""",""""inbox"""",""""reply"""",""""print""""]""	""[""""attachment"""",""""attitude"""",""""attention"""",""""adventure"""",""""arrangement""""]""	""[{""""word"""":""""enclosure"""",""""note"""":""""手紙などの同封物にも使う""""}]""	[]"
500820	5	convict	有罪とする	to decide in court that someone is guilty	The court convicted him of the crime.	裁判所は彼にその罪で有罪判決を下した。	verb	6	2	""[""""有罪とする"""",""""逮捕する"""",""""調査する"""",""""弁護する"""",""""釈放する""""]""	""[""""convict"""",""""arrest"""",""""investigate"""",""""defend"""",""""release""""]""	""[""""convict"""",""""connect"""",""""collect"""",""""correct"""",""""conflict""""]""	""[{""""word"""":""""sentence"""",""""note"""":""""文脈により近いが意味は完全には同じでない""""}]""	""[{""""word"""":""""acquit"""",""""note"""":""""無罪とする""""}]"""
500821	5	assess	評価する	to judge the quality or value of something	The teacher will assess our work today.	先生は今日、私たちの作品を評価します。	verb	5	3	""[""""評価する"""",""""比較する"""",""""説明する"""",""""改善する"""",""""記録する""""]""	""[""""assess"""",""""compare"""",""""describe"""",""""improve"""",""""record""""]""	""[""""assess"""",""""access"""",""""assist"""",""""across"""",""""excess""""]""	""[{""""word"""":""""judge"""",""""note"""":""""より一般的な語""""},{""""word"""":""""evaluate"""",""""note"""":""""ややかたい語""""}]""	[]"
500822	5	evaluate	評価する	to judge how good or useful something is	We need to evaluate the plan carefully.	私たちはその計画を注意深く評価する必要があります。	verb	5	3	""[""""評価する"""",""""選ぶ"""",""""集める"""",""""防ぐ"""",""""運ぶ""""]""	""[""""evaluate"""",""""choose"""",""""collect"""",""""prevent"""",""""carry""""]""	""[""""evaluate"""",""""educate"""",""""estimate"""",""""elevator"""",""""celebrate""""]""	""[{""""word"""":""""assess"""",""""note"""":""""意味がとても近い""""},{""""word"""":""""judge"""",""""note"""":""""より一般的な語""""}]""	[]"
500823	5	critical	批判的な	showing strong disapproval or careful judgment	She was critical of my idea.	彼女は私の考えに批判的でした。	adjective	5	3	""[""""批判的な"""",""""積極的な"""",""""静かな"""",""""正直な"""",""""陽気な""""]""	""[""""critical"""",""""active"""",""""quiet"""",""""honest"""",""""cheerful""""]""	""[""""critical"""",""""typical"""",""""digital"""",""""chemical"""",""""practical""""]""	""[{""""word"""":""""negative"""",""""note"""":""""否定的という意味で近い""""}]""	""[{""""word"""":""""positive"""",""""note"""":""""肯定的な""""}]"""
500824	5	evaluation	評価	a judgment about how good something is	The teacher gave us an evaluation of our work.	先生は私たちの作品に評価をくれた。	noun	5	3	""[""""評価"""",""""意見"""",""""結果"""",""""計画"""",""""努力""""]""	""[""""evaluation"""",""""opinion"""",""""result"""",""""plan"""",""""effort""""]""	""[""""evaluation"""",""""education"""",""""vacation"""",""""situation"""",""""invitation""""]""	""[{""""word"""":""""assessment"""",""""note"""":""""ややかたい語だが近い意味""""}]""	[]"
500825	5	rainforest	熱帯雨林	a thick forest in a hot, wet area	Many rare animals live in the rainforest.	多くの珍しい動物が熱帯雨林に住んでいる。	noun	5	3	""[""""熱帯雨林"""",""""砂漠"""",""""草原"""",""""山脈"""",""""湖""""]""	""[""""rainforest"""",""""desert"""",""""grassland"""",""""mountain"""",""""lake""""]""	""[""""rainforest"""",""""railroad"""",""""raincoat"""",""""playground"""",""""airport""""]""	[]	[]"
500826	5	isolate	孤立させる	to keep someone or something apart from others	The storm can isolate small villages.	その嵐は小さな村々を孤立させることがある。	verb	5	2	""[""""孤立させる"""",""""保護する"""",""""支える"""",""""集める"""",""""導く""""]""	""[""""isolate"""",""""protect"""",""""support"""",""""gather"""",""""guide""""]""	""[""""isolate"""",""""imitate"""",""""elevate"""",""""indicate"""",""""integrate""""]""	""[{""""word"""":""""separate"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""connect"""",""""note"""":""""つなげる""""}]"""
500827	5	withhold	差し控える	to refuse to give something	They decided to withhold the information.	彼らはその情報を差し控えることに決めた。	verb	5	2	""[""""差し控える"""",""""受け取る"""",""""広げる"""",""""認める"""",""""集める""""]""	""[""""withhold"""",""""receive"""",""""spread"""",""""admit"""",""""collect""""]""	""[""""withhold"""",""""withdraw"""",""""without"""",""""uphold"""",""""behold""""]""	""[{""""word"""":""""keep back"""",""""note"""":""""与えずに取っておく""""}]""	""[{""""word"""":""""give"""",""""note"""":""""与える""""},{""""word"""":""""release"""",""""note"""":""""公表する・放つ""""}]"""
500828	5	persist	やり続ける	to continue doing something	She will persist even after failure.	彼女は失敗した後でもやり続けるだろう。	verb	5	3	""[""""やり続ける"""",""""あきらめる"""",""""避ける"""",""""隠す"""",""""急ぐ""""]""	""[""""persist"""",""""quit"""",""""avoid"""",""""hide"""",""""hurry""""]""	""[""""persist"""",""""assist"""",""""insist"""",""""resist"""",""""perfect""""]""	""[{""""word"""":""""continue"""",""""note"""":""""最も基本的な類義語""""}]""	""[{""""word"""":""""quit"""",""""note"""":""""やめる""""},{""""word"""":""""give up"""",""""note"""":""""あきらめる""""}]"""
500829	5	persist in	〜し続ける	to keep doing something	He persisted in asking the same question.	彼は同じ質問をし続けた。	verb	5	2	""[""""〜し続ける"""",""""〜を避ける"""",""""〜を終える"""",""""〜を忘れる"""",""""〜を学ぶ""""]""	""[""""persist in"""",""""avoid"""",""""finish"""",""""forget"""",""""learn""""]""	""[""""persist in"""",""""insist on"""",""""resist"""",""""perfect"""",""""person""""]""	""[{""""word"""":""""keep on"""",""""note"""":""""より基本的な表現""""},{""""word"""":""""continue"""",""""note"""":""""意味が近い""""}]""	""[{""""word"""":""""stop"""",""""note"""":""""やめる""""}]"""
500830	5	stick to	守る	to continue doing or following something	Please stick to the plan.	その計画を守ってください。	verb	5	3	""[""""守る"""",""""変える"""",""""忘れる"""",""""疑う"""",""""壊す""""]""	""[""""stick to"""",""""change"""",""""forget"""",""""doubt"""",""""break""""]""	""[""""stick to"""",""""speak to"""",""""step to"""",""""stick with"""",""""talk to""""]""	""[{""""word"""":""""follow"""",""""note"""":""""指示や計画に従うとき""""},{""""word"""":""""keep"""",""""note"""":""""約束などを守るとき""""}]""	""[{""""word"""":""""change"""",""""note"""":""""変えてしまう""""},{""""word"""":""""give up"""",""""note"""":""""続けない""""}]"""
